t,ax,ay,az,gx,gy,gz,mx,my,mz,label
1095185.0,-0.76,0.17,9.69,-0.02,0.03,0.07,-30.88,34.48,-36.88,T
1095198.0,-0.7,0.21,9.68,0.04,0.02,0.02,-30.43,34.93,-32.98,T
1095211.0,-0.68,0.16,9.7,-0.01,-0.01,-0.02,-31.33,35.68,-36.13,T
1095224.0,-0.66,0.17,9.62,0.01,0.01,0.0,-32.08,33.73,-35.23,T
1095237.0,-0.76,0.24,9.67,-0.0,-0.0,-0.04,-32.08,35.68,-34.93,T
1095250.0,-0.77,0.23,9.64,-0.0,0.01,-0.03,-32.08,35.68,-34.93,T
1095263.0,-0.68,0.2,9.68,0.05,-0.04,0.09,-31.48,33.88,-36.58,T
1095276.0,-0.69,0.3,9.69,0.02,-0.02,0.01,-32.08,34.93,-36.13,T
1095289.0,-0.68,0.29,9.66,0.02,-0.0,0.01,-32.08,34.93,-36.13,T
1095302.0,-0.66,0.22,9.69,-0.01,0.01,-0.04,-31.03,34.33,-35.83,T
1095315.0,-0.66,0.25,9.7,0.01,0.01,0.01,-31.93,34.63,-36.28,T
1095328.0,-0.68,0.31,9.71,-0.03,0.05,-0.04,-31.93,34.63,-36.28,T
1095341.0,-0.57,0.35,9.79,0.02,-0.02,0.02,-32.08,34.48,-36.43,T
1095354.0,-0.6,0.25,9.76,-0.0,-0.0,0.03,-29.98,34.48,-34.93,T
1095367.0,-0.62,0.28,9.75,-0.0,0.02,-0.03,-32.53,35.98,-35.23,T
1095380.0,-0.67,0.27,9.73,0.05,-0.03,0.01,-32.53,35.98,-35.23,T
1095393.0,-0.69,0.29,9.71,0.03,-0.02,0.01,-32.38,34.63,-37.48,T
1095406.0,-0.69,0.26,9.67,0.02,-0.01,0.0,-30.43,35.23,-34.48,T
1095419.0,-0.7,0.31,9.66,-0.01,0.03,-0.02,-30.43,35.23,-34.48,T
1095432.0,-0.72,0.17,9.69,-0.06,-0.01,-0.02,-32.38,34.63,-36.28,T
1095445.0,-0.79,0.19,9.67,0.01,0.01,-0.03,-29.98,35.98,-34.93,T
1095458.0,-0.75,0.16,9.65,-0.03,0.02,-0.05,-32.68,35.08,-34.78,T
1095471.0,-0.84,0.27,9.68,0.01,0.01,-0.0,-31.03,34.33,-36.28,T
1095484.0,-0.79,0.26,9.64,0.03,-0.02,0.05,-31.48,35.38,-35.08,T
1095497.0,-0.91,0.31,9.67,0.04,-0.05,0.03,-30.43,34.48,-35.68,T
1095510.0,-0.92,0.32,9.71,-0.04,-0.03,0.0,-31.33,35.68,-34.48,T
1095523.0,-0.93,0.23,9.7,0.01,-0.04,0.07,-32.08,36.43,-34.93,T
1095536.0,-0.86,0.23,9.69,0.01,-0.02,-0.0,-30.73,35.08,-35.83,T
1095549.0,-0.78,0.23,9.74,-0.01,-0.01,-0.0,-33.13,34.33,-35.08,T
1095562.0,-0.79,0.22,9.81,-0.03,-0.02,0.03,-31.48,34.33,-37.03,T
1095575.0,-0.79,0.14,9.75,-0.0,0.0,0.04,-32.53,33.73,-34.48,T
1095588.0,-0.75,0.21,9.74,-0.01,-0.04,0.07,-31.48,35.38,-36.28,T
1095601.0,-0.7,0.12,9.7,0.01,-0.05,0.05,-31.03,36.13,-36.28,T
1095614.0,-0.64,0.14,9.83,0.04,-0.08,0.06,-31.03,34.63,-35.83,T
1095626.0,-0.61,0.2,9.71,0.03,-0.06,0.09,-31.93,34.63,-35.08,T
1095640.0,-0.64,0.37,9.71,-0.01,0.01,0.01,-32.53,35.23,-34.93,T
1095653.0,-0.62,0.39,9.63,-0.0,-0.01,0.04,-31.93,34.33,-34.78,T
1095666.0,-0.66,0.45,9.7,0.02,-0.01,0.07,-32.68,34.33,-36.28,T
1095679.0,-0.62,0.34,9.67,0.03,-0.05,0.06,-32.53,34.03,-35.68,T
1095692.0,-0.59,0.39,9.73,0.03,-0.04,0.02,-31.33,34.03,-36.43,T
1095705.0,-0.64,0.35,9.7,0.02,-0.02,0.02,-31.63,35.68,-35.68,T
1095718.0,-0.57,0.39,9.72,0.01,-0.06,-0.0,-32.08,34.93,-34.48,T
1095731.0,-0.53,0.25,9.71,0.05,-0.04,0.06,-31.93,34.63,-35.53,T
1095744.0,-0.56,0.28,9.74,0.05,-0.03,0.04,-31.03,34.63,-35.83,T
1095757.0,-0.52,0.25,9.82,0.04,0.01,-0.03,-32.38,35.08,-33.88,T
1095770.0,-0.53,0.26,9.75,0.06,-0.0,-0.01,-32.38,35.08,-33.88,T
1095783.0,-0.5,0.29,9.77,0.03,-0.01,-0.0,-32.38,34.63,-35.08,T
1095796.0,-0.52,0.4,9.69,0.06,-0.02,0.05,-31.63,34.48,-35.23,T
1095809.0,-0.57,0.39,9.76,0.01,-0.05,-0.0,-31.63,34.48,-35.23,T
1095822.0,-0.5,0.4,9.7,0.06,-0.02,0.03,-31.93,34.33,-34.78,T
1095834.0,-0.59,0.26,9.74,0.0,0.04,-0.05,-31.63,33.73,-34.93,T
1095848.0,-0.57,0.25,9.73,0.05,-0.04,0.03,-30.73,35.08,-36.28,T
1095861.0,-0.56,0.27,9.66,0.05,-0.02,0.0,-30.73,35.08,-36.28,T
1095874.0,-0.6,0.32,9.64,0.06,-0.0,0.02,-32.38,32.83,-35.08,T
1095887.0,-0.69,0.36,9.68,0.0,0.02,-0.01,-32.53,34.48,-35.68,T
1095900.0,-0.7,0.34,9.68,-0.03,0.03,-0.02,-32.53,34.48,-35.68,T
1095913.0,-0.76,0.31,9.77,-0.01,0.01,0.02,-31.63,34.03,-36.43,T
1095926.0,-0.66,0.27,9.68,0.02,-0.03,0.01,-32.53,35.68,-36.13,T
1095939.0,-0.76,0.29,9.72,0.07,-0.04,0.02,-29.98,34.03,-34.93,T
1095952.0,-0.75,0.35,9.87,0.13,0.02,0.04,-32.98,34.48,-35.23,T
1095965.0,-0.73,0.42,9.78,0.07,0.01,0.04,-32.68,35.83,-35.53,T
1095978.0,-0.72,0.51,9.79,0.07,0.03,-0.02,-30.73,34.33,-34.33,T
1095991.0,-0.67,0.48,9.85,0.05,0.0,-0.0,-30.73,34.33,-34.33,T
1096004.0,-0.68,0.34,9.79,0.08,0.0,0.05,-30.28,35.08,-34.33,T
1096017.0,-0.66,0.47,9.76,0.03,0.04,-0.01,-31.33,36.43,-36.88,T
1096030.0,-0.68,0.43,9.71,0.02,0.03,-0.02,-31.33,36.43,-36.88,T
1096042.0,-0.65,0.43,9.75,0.01,0.04,-0.02,-30.88,33.73,-37.18,T
1096056.0,-0.58,0.4,9.7,0.07,-0.02,0.05,-31.93,34.63,-35.83,T
1096069.0,-0.57,0.4,9.69,0.07,-0.03,-0.01,-30.28,33.58,-34.78,T
1096082.0,-0.63,0.41,9.66,0.09,0.02,-0.02,-31.63,34.93,-35.68,T
1096095.0,-0.67,0.39,9.67,0.02,-0.0,-0.02,-31.93,35.38,-34.78,T
1096108.0,-0.57,0.49,9.72,0.0,0.02,-0.05,-31.63,35.23,-35.23,T
1096121.0,-0.65,0.47,9.67,0.02,0.04,0.01,-30.28,34.33,-34.33,T
1096134.0,-0.62,0.44,9.75,0.05,-0.06,0.07,-32.38,33.88,-35.53,T
1096147.0,-0.62,0.46,9.69,0.03,-0.01,0.02,-32.38,32.83,-36.58,T
1096160.0,-0.68,0.52,9.72,0.02,0.03,0.03,-31.93,33.88,-35.83,T
1096173.0,-0.69,0.62,9.63,-0.01,0.02,-0.03,-32.38,34.63,-37.03,T
1096186.0,-0.63,0.55,9.71,0.02,0.01,-0.01,-31.63,34.03,-35.23,T
1096199.0,-0.65,0.54,9.67,0.02,0.01,-0.01,-31.48,35.08,-35.08,T
1096212.0,-0.67,0.52,9.65,-0.03,-0.01,-0.04,-31.03,35.08,-37.48,T
1096225.0,-0.68,0.53,9.62,0.01,0.0,0.02,-31.48,35.08,-35.53,T
1096238.0,-0.66,0.51,9.63,-0.02,0.01,-0.07,-31.93,33.13,-35.08,T
1096250.0,-0.67,0.57,9.63,-0.02,-0.02,-0.06,-31.93,33.13,-35.08,T
1096264.0,-0.67,0.5,9.7,0.01,-0.03,-0.05,-30.88,33.73,-34.93,T
1096277.0,-0.65,0.45,9.65,-0.0,-0.05,-0.04,-32.38,34.63,-35.83,T
1096290.0,-0.61,0.36,9.74,0.04,-0.01,0.0,-32.38,34.63,-35.83,T
1096303.0,-0.58,0.32,9.77,-0.0,-0.04,-0.02,-31.93,34.33,-35.53,T
1096316.0,-0.55,0.32,9.8,0.0,-0.01,0.01,-31.93,34.33,-35.08,T
1096329.0,-0.67,0.4,9.82,0.04,-0.06,-0.01,-30.43,35.23,-35.68,T
1096342.0,-0.64,0.46,9.85,0.0,-0.01,0.02,-30.28,34.33,-35.53,T
1096355.0,-0.7,0.45,9.87,0.01,0.03,-0.02,-32.98,34.48,-36.13,T
1096368.0,-0.71,0.51,9.9,-0.01,0.01,0.04,-32.08,35.23,-34.48,T
1096381.0,-0.57,0.44,9.88,0.01,0.01,0.04,-32.08,35.23,-34.48,T
1096394.0,-0.62,0.41,9.84,0.02,0.05,0.0,-31.93,33.88,-35.08,T
1096407.0,-0.68,0.47,9.83,0.01,0.02,-0.02,-31.63,33.73,-36.13,T
1096420.0,-0.68,0.53,9.73,-0.02,0.04,-0.05,-31.63,33.73,-36.13,T
1096433.0,-0.65,0.52,9.66,-0.04,0.05,0.01,-31.03,33.88,-37.48,T
1096446.0,-0.58,0.5,9.65,-0.01,0.07,-0.01,-31.33,33.28,-34.18,T
1096458.0,-0.58,0.53,9.67,-0.03,0.02,-0.01,-32.53,34.03,-34.93,T
1096472.0,-0.59,0.42,9.55,-0.03,-0.01,0.03,-33.13,33.88,-36.58,T
1096485.0,-0.55,0.46,9.59,0.0,0.02,-0.01,-32.38,34.63,-35.08,T
1096498.0,-0.62,0.47,9.58,-0.02,0.01,-0.0,-32.53,34.48,-35.23,T
1096511.0,-0.62,0.49,9.58,0.02,0.0,-0.03,-32.53,34.48,-35.23,T
1096524.0,-0.68,0.49,9.61,0.02,-0.01,0.03,-31.33,33.28,-34.93,T
1096537.0,-0.64,0.47,9.62,0.02,-0.04,0.01,-32.38,34.33,-34.78,T
1096550.0,-0.66,0.43,9.7,-0.05,-0.0,-0.05,-32.98,34.03,-36.13,T
