t,ax,ay,az,gx,gy,gz,mx,my,mz,label
836875.0,0.37,0.33,9.6,0.01,-0.01,0.06,-35.53,30.88,-34.78,U
836888.0,0.4,0.43,9.63,-0.02,-0.0,0.0,-35.23,31.93,-33.88,U
836901.0,0.4,0.4,9.58,-0.03,0.03,-0.0,-35.23,31.93,-33.88,U
836914.0,0.44,0.42,9.57,-0.01,0.0,0.04,-34.18,31.03,-32.53,U
836927.0,0.42,0.45,9.61,0.04,-0.04,0.04,-34.93,31.78,-35.23,U
836940.0,0.44,0.44,9.64,-0.02,0.02,0.01,-34.93,31.78,-35.23,U
836953.0,0.45,0.38,9.7,-0.02,0.05,0.03,-34.63,31.48,-34.48,U
836966.0,0.38,0.44,9.77,0.03,-0.07,0.05,-34.78,31.18,-33.13,U
836979.0,0.38,0.45,9.76,-0.02,-0.02,-0.02,-35.23,31.93,-35.08,U
836992.0,0.39,0.46,9.7,-0.02,-0.03,0.02,-35.23,31.93,-35.08,U
837005.0,0.31,0.46,9.79,0.01,-0.01,0.05,-33.28,32.98,-34.18,U
837018.0,0.37,0.39,9.85,-0.01,0.03,0.02,-35.38,32.53,-34.18,U
837031.0,0.37,0.4,9.85,-0.03,0.0,0.02,-35.38,32.53,-34.18,U
837044.0,0.25,0.38,9.81,0.05,-0.01,-0.0,-33.28,31.78,-34.93,U
837057.0,0.33,0.45,9.77,0.05,-0.0,0.06,-35.83,32.23,-33.73,U
837070.0,0.25,0.43,9.75,0.04,0.03,0.02,-35.83,32.23,-33.73,U
837083.0,0.25,0.47,9.73,0.01,-0.02,0.01,-35.53,31.93,-33.88,U
837096.0,0.23,0.39,9.64,-0.03,-0.01,0.04,-35.38,33.73,-34.18,U
837109.0,0.15,0.46,9.66,0.02,-0.0,0.03,-34.93,32.23,-34.48,U
837122.0,0.15,0.37,9.62,0.05,-0.01,0.01,-34.93,32.23,-34.48,U
837135.0,0.12,0.36,9.66,-0.04,0.03,-0.03,-34.93,31.78,-34.18,U
837148.0,0.18,0.41,9.6,-0.02,0.01,-0.01,-34.33,32.83,-35.83,U
837161.0,0.2,0.34,9.67,-0.04,0.03,-0.04,-34.33,32.83,-35.83,U
837174.0,0.16,0.27,9.65,0.01,-0.04,0.03,-33.73,31.03,-33.43,U
837187.0,0.19,0.3,9.73,0.02,-0.05,-0.03,-34.78,31.63,-34.78,U
837200.0,0.27,0.33,9.68,-0.0,-0.05,0.08,-35.83,32.53,-32.98,U
837213.0,0.3,0.36,9.79,-0.01,0.01,-0.0,-33.73,32.98,-32.98,U
837226.0,0.28,0.34,9.81,0.01,0.04,0.03,-34.33,31.18,-34.78,U
837239.0,0.31,0.3,9.82,-0.02,-0.01,0.0,-34.93,32.98,-35.23,U
837251.0,0.3,0.35,9.8,0.01,-0.04,0.03,-35.38,32.53,-34.93,U
837265.0,0.35,0.37,9.76,-0.01,0.0,-0.04,-34.78,32.83,-34.33,U
837278.0,0.31,0.32,9.78,-0.04,0.0,0.02,-34.18,31.48,-34.48,U
837291.0,0.28,0.34,9.86,-0.03,0.05,-0.0,-36.13,33.28,-34.18,U
837304.0,0.31,0.32,9.85,0.02,-0.01,0.05,-34.33,31.18,-33.58,U
837317.0,0.36,0.36,9.83,0.02,-0.02,0.04,-34.93,32.98,-35.68,U
837330.0,0.34,0.42,9.79,-0.01,0.03,0.08,-34.18,32.98,-35.68,U
837343.0,0.38,0.37,9.78,-0.03,0.04,0.04,-36.88,33.13,-34.78,U
837356.0,0.36,0.44,9.82,-0.03,0.07,-0.05,-35.38,31.48,-35.23,U
837369.0,0.37,0.45,9.77,-0.0,0.01,-0.01,-33.58,31.63,-33.88,U
837382.0,0.31,0.44,9.71,-0.0,-0.02,0.02,-35.53,32.83,-34.33,U
837395.0,0.38,0.45,9.74,0.03,-0.02,0.06,-33.73,32.98,-33.73,U
837408.0,0.34,0.42,9.74,0.02,-0.04,-0.0,-33.58,31.63,-34.33,U
837421.0,0.36,0.38,9.69,0.01,0.01,-0.0,-33.58,31.63,-34.33,U
837434.0,0.41,0.34,9.7,0.02,-0.04,0.05,-34.18,32.23,-34.18,U
837447.0,0.44,0.41,9.67,0.04,-0.02,0.02,-35.38,33.28,-34.18,U
837459.0,0.38,0.44,9.67,0.04,-0.03,-0.01,-35.38,33.28,-34.18,U
837473.0,0.43,0.42,9.6,0.0,-0.01,0.02,-34.33,31.18,-34.33,U
837486.0,0.37,0.36,9.6,-0.02,0.0,0.02,-36.43,32.83,-32.83,U
837499.0,0.33,0.37,9.68,-0.06,0.0,0.01,-34.93,32.53,-33.73,U
837512.0,0.28,0.36,9.66,0.01,-0.06,0.01,-34.93,32.53,-33.73,U
837525.0,0.26,0.33,9.69,0.03,-0.03,0.0,-35.98,31.63,-33.58,U
837538.0,0.24,0.33,9.64,0.02,-0.03,-0.0,-35.53,31.93,-32.38,U
837551.0,0.28,0.31,9.69,-0.03,0.02,-0.0,-35.53,31.93,-32.38,U
837564.0,0.34,0.26,9.67,-0.02,0.01,-0.03,-34.78,31.93,-35.08,U
837577.0,0.3,0.34,9.72,0.02,-0.0,-0.02,-35.23,31.93,-33.13,U
