t,ax,ay,az,gx,gy,gz,mx,my,mz,label
1165203.0,-0.13,0.51,9.91,0.06,-0.01,0.12,-33.88,32.83,-34.78,C
1165216.0,-0.16,0.7,9.78,-0.0,0.02,0.02,-32.38,33.13,-33.58,C
1165229.0,-0.19,0.66,9.76,-0.02,0.03,-0.01,-31.93,32.83,-35.08,C
1165242.0,-0.19,0.6,9.79,-0.03,0.04,0.04,-32.53,32.23,-36.13,C
1165255.0,-0.22,0.65,9.8,0.04,-0.03,0.07,-31.63,32.23,-34.93,C
1165268.0,-0.23,0.63,9.8,0.06,0.01,0.03,-32.08,32.23,-34.93,C
1165281.0,-0.17,0.65,9.73,0.08,-0.04,-0.01,-31.33,32.23,-35.68,C
1165294.0,-0.08,0.71,9.71,0.03,0.03,0.02,-33.13,32.83,-35.53,C
1165307.0,-0.12,0.73,9.72,0.03,-0.03,0.06,-33.73,32.23,-34.93,C
1165320.0,-0.13,0.62,9.76,0.06,-0.04,0.02,-32.38,33.13,-33.88,C
1165333.0,-0.1,0.67,9.65,0.07,-0.0,0.02,-32.68,32.38,-35.53,C
1165346.0,-0.19,0.64,9.61,0.05,-0.02,0.01,-33.88,32.38,-34.33,C
1165359.0,-0.14,0.59,9.67,0.01,-0.01,0.01,-32.38,33.13,-33.58,C
1165372.0,-0.18,0.55,9.62,0.06,-0.02,-0.02,-32.08,32.53,-34.48,C
1165385.0,-0.19,0.57,9.56,0.06,-0.0,0.03,-33.88,32.83,-33.88,C
1165398.0,-0.19,0.57,9.57,0.04,-0.05,-0.04,-33.88,32.83,-33.88,C
1165411.0,-0.2,0.54,9.58,0.06,-0.02,-0.01,-34.78,33.13,-33.88,C
1165424.0,-0.19,0.55,9.53,0.03,-0.01,0.02,-33.13,31.93,-34.78,C
1165437.0,-0.17,0.49,9.61,-0.01,0.04,-0.06,-33.13,31.93,-34.78,C
1165450.0,-0.19,0.5,9.56,-0.02,-0.0,0.03,-33.13,33.88,-35.83,C
1165463.0,-0.21,0.44,9.53,-0.02,0.06,-0.04,-33.13,33.58,-34.33,C
1165476.0,-0.18,0.51,9.55,-0.04,0.01,-0.02,-33.13,32.38,-33.88,C
1165489.0,-0.15,0.44,9.6,-0.03,-0.02,-0.04,-33.13,32.38,-33.88,C
1165501.0,-0.2,0.48,9.65,-0.05,0.03,-0.03,-31.93,33.13,-34.78,C
1165515.0,-0.23,0.45,9.67,0.0,-0.01,0.05,-32.38,33.58,-34.33,C
1165528.0,-0.27,0.53,9.73,-0.01,-0.02,0.04,-32.38,33.58,-34.33,C
1165541.0,-0.23,0.57,9.73,0.01,-0.04,0.03,-32.68,32.38,-34.33,C
1165554.0,-0.2,0.47,9.81,-0.05,-0.02,0.03,-33.88,31.93,-34.33,C
1165567.0,-0.23,0.53,9.84,-0.03,-0.04,-0.03,-33.58,33.13,-35.83,C
1165580.0,-0.16,0.58,9.85,-0.01,0.03,0.05,-33.58,33.13,-35.83,C
1165593.0,-0.17,0.6,9.91,0.03,-0.02,0.04,-33.58,33.13,-35.08,C
1165606.0,-0.1,0.65,9.86,0.01,0.02,-0.01,-33.58,32.38,-35.83,C
1165619.0,-0.15,0.66,9.92,-0.02,0.05,-0.0,-33.58,32.38,-35.83,C
1165632.0,-0.07,0.63,9.88,0.01,0.01,0.09,-31.48,31.93,-35.08,C
1165645.0,-0.18,0.66,9.85,0.02,0.01,0.04,-32.68,30.88,-33.88,C
1165658.0,-0.2,0.64,9.81,0.03,0.01,0.03,-32.38,31.93,-35.53,C
1165671.0,-0.2,0.69,9.76,0.0,0.02,0.01,-31.93,33.13,-33.58,C
1165684.0,-0.22,0.67,9.71,-0.02,0.04,-0.06,-31.63,34.03,-33.73,C
1165697.0,-0.25,0.67,9.68,-0.02,0.08,0.01,-34.63,32.53,-34.18,C
1165709.0,-0.21,0.68,9.63,0.0,0.06,0.02,-32.38,32.38,-35.83,C
1165723.0,-0.3,0.63,9.63,0.02,-0.02,0.02,-32.68,33.58,-33.88,C
1165736.0,-0.22,0.66,9.63,0.04,0.01,-0.05,-33.28,33.28,-33.73,C
1165749.0,-0.2,0.6,9.6,0.05,-0.06,0.06,-32.68,32.83,-35.53,C
1165762.0,-0.19,0.57,9.6,0.0,-0.02,-0.01,-30.43,32.23,-34.18,C
1165775.0,-0.26,0.59,9.61,-0.03,-0.0,-0.02,-33.28,34.03,-36.13,C
1165788.0,-0.19,0.58,9.66,0.01,0.01,0.02,-33.28,33.28,-34.48,C
1165801.0,-0.23,0.45,9.6,-0.03,0.04,-0.02,-33.58,32.83,-34.78,C
1165814.0,-0.22,0.48,9.65,-0.01,0.05,-0.0,-32.38,31.63,-33.58,C
