t,ax,ay,az,gx,gy,gz,mx,my,mz,label
905047.0,0.33,0.7,9.55,-0.02,-0.06,-0.01,-36.58,29.53,-34.48,D
905060.0,0.39,0.7,9.51,-0.01,-0.08,0.0,-37.78,28.78,-34.18,D
905073.0,0.34,0.62,9.61,-0.02,-0.08,0.01,-37.78,28.78,-34.18,D
905086.0,0.31,0.57,9.59,-0.06,-0.0,0.0,-36.13,28.03,-34.18,D
905099.0,0.38,0.57,9.7,-0.02,-0.0,-0.02,-36.43,28.93,-33.58,D
905112.0,0.34,0.59,9.75,-0.05,-0.02,0.06,-36.43,28.93,-33.58,D
905125.0,0.3,0.61,9.83,-0.0,-0.09,0.03,-37.48,31.03,-32.98,D
905138.0,0.33,0.62,9.82,-0.02,0.0,-0.02,-38.23,30.28,-32.53,D
905151.0,0.37,0.64,9.84,-0.01,-0.01,0.02,-37.63,29.38,-33.88,D
905164.0,0.39,0.68,9.86,-0.05,0.02,0.01,-37.63,29.38,-33.88,D
905177.0,0.44,0.73,9.97,0.04,-0.03,0.1,-36.13,30.73,-34.48,D
905190.0,0.42,0.79,9.94,0.03,-0.02,0.02,-36.58,30.28,-34.18,D
905203.0,0.43,0.81,9.92,0.03,-0.01,0.05,-36.58,30.28,-34.18,D
905216.0,0.34,0.81,9.87,-0.01,0.02,-0.0,-36.88,30.13,-34.33,D
905229.0,0.36,0.86,9.86,-0.02,-0.0,0.03,-36.13,30.28,-32.98,D
905242.0,0.34,0.86,9.88,-0.0,-0.01,0.02,-35.98,30.13,-32.38,D
905255.0,0.4,0.91,9.77,0.04,-0.01,0.02,-37.03,30.28,-34.93,D
905268.0,0.4,0.92,9.87,0.02,-0.03,-0.02,-36.13,30.28,-33.73,D
905281.0,0.45,0.95,9.78,0.04,0.02,-0.0,-36.58,29.83,-32.98,D
905294.0,0.38,0.96,9.74,0.08,-0.04,0.05,-35.98,30.43,-33.58,D
905307.0,0.35,0.9,9.77,0.07,-0.03,-0.02,-36.43,28.93,-33.13,D
905320.0,0.2,0.88,9.87,0.07,-0.08,-0.02,-37.03,29.08,-35.68,D
905333.0,0.48,0.96,9.62,0.05,-0.02,0.03,-36.88,29.68,-33.13,D
905346.0,0.45,0.81,9.64,0.02,0.04,-0.07,-37.18,28.63,-33.58,D
905359.0,0.37,0.72,9.6,0.02,0.03,-0.04,-35.98,28.18,-33.13,D
905372.0,0.32,0.76,9.61,-0.02,0.01,-0.05,-38.08,30.43,-33.58,D
905385.0,0.39,0.74,9.67,0.06,-0.04,-0.02,-37.18,29.38,-31.93,D
905398.0,0.4,0.68,9.62,0.08,-0.06,-0.07,-37.48,27.58,-33.73,D
905411.0,0.45,0.65,9.63,0.08,-0.05,-0.01,-35.53,31.18,-32.83,D
905424.0,0.37,0.72,9.64,0.04,0.03,-0.05,-36.88,28.93,-34.33,D
905437.0,0.42,0.61,9.6,0.03,0.01,-0.08,-37.78,29.53,-34.93,D
905450.0,0.36,0.67,9.58,0.07,0.01,-0.01,-37.03,28.33,-34.93,D
905463.0,0.37,0.69,9.6,0.04,-0.01,-0.04,-37.18,27.73,-34.78,D
905476.0,0.31,0.74,9.56,0.0,0.01,-0.02,-37.03,29.53,-34.93,D
905489.0,0.25,0.74,9.52,0.03,-0.0,-0.03,-38.23,29.08,-33.43,D
905501.0,0.31,0.83,9.59,0.02,0.03,0.04,-37.03,29.08,-34.93,D
905515.0,0.33,0.81,9.59,0.05,-0.01,0.03,-37.63,28.63,-33.88,D
905528.0,0.41,0.79,9.62,0.05,-0.02,0.02,-36.43,28.63,-33.13,D
905541.0,0.39,0.82,9.68,0.05,-0.02,0.06,-37.03,29.08,-34.18,D
905554.0,0.48,0.85,9.72,-0.02,0.01,-0.02,-37.03,29.08,-34.18,D
905567.0,0.55,0.87,9.69,0.01,0.02,-0.02,-38.08,29.38,-33.13,D
905580.0,0.48,0.89,9.69,-0.0,0.03,0.03,-36.13,29.83,-33.43,D
905593.0,0.51,0.88,9.73,0.01,-0.02,0.05,-36.13,29.83,-33.43,D
905606.0,0.51,0.87,9.74,0.06,-0.04,0.04,-35.53,28.63,-33.58,D
905619.0,0.48,0.94,9.78,0.03,0.04,-0.03,-34.93,29.53,-33.73,D
