t,ax,ay,az,gx,gy,gz,mx,my,mz,label
964860.0,-0.4,0.37,9.69,0.02,0.01,0.02,-33.73,29.53,-35.23,L
964873.0,-0.37,0.35,9.75,-0.03,-0.0,0.01,-33.73,30.28,-35.23,L
964886.0,-0.4,0.37,9.65,0.01,0.01,-0.02,-33.73,31.03,-36.13,L
964899.0,-0.4,0.38,9.63,-0.02,0.06,-0.0,-33.73,31.03,-36.13,L
964912.0,-0.45,0.28,9.69,-0.04,0.03,-0.04,-32.68,30.13,-36.28,L
964925.0,-0.45,0.23,9.69,-0.01,-0.04,-0.01,-33.58,29.68,-35.83,L
964938.0,-0.42,0.22,9.72,0.02,-0.01,-0.01,-33.58,29.68,-35.83,L
964951.0,-0.48,0.24,9.7,-0.01,0.0,0.02,-32.98,29.53,-36.43,L
964964.0,-0.45,0.24,9.67,-0.0,0.04,0.03,-32.98,29.08,-35.68,L
964977.0,-0.48,0.2,9.69,-0.02,0.03,-0.03,-32.98,30.28,-36.13,L
964990.0,-0.49,0.24,9.74,-0.06,-0.01,-0.01,-34.33,30.88,-35.08,L
965003.0,-0.52,0.21,9.74,0.01,-0.02,0.0,-33.58,29.38,-37.03,L
965016.0,-0.53,0.24,9.79,0.02,-0.03,-0.02,-34.18,31.78,-35.23,L
965029.0,-0.5,0.22,9.8,0.03,-0.03,0.04,-33.88,30.88,-35.53,L
965041.0,-0.54,0.24,9.81,0.05,-0.01,0.04,-33.88,29.68,-36.58,L
965055.0,-0.52,0.28,9.81,-0.02,0.06,-0.05,-34.33,30.88,-35.83,L
965068.0,-0.59,0.33,9.82,0.05,0.02,0.05,-31.48,30.13,-35.53,L
965081.0,-0.54,0.34,9.82,0.07,0.03,0.01,-32.68,30.13,-36.58,L
965094.0,-0.49,0.25,9.83,-0.0,0.05,0.02,-33.58,30.13,-35.83,L
965107.0,-0.57,0.31,9.81,-0.02,0.04,0.02,-33.73,31.48,-35.23,L
965120.0,-0.49,0.28,9.8,-0.01,0.06,0.0,-32.53,31.78,-35.23,L
965133.0,-0.53,0.26,9.76,0.06,0.02,0.02,-33.58,30.13,-36.28,L
965146.0,-0.53,0.33,9.71,0.03,0.02,0.06,-33.13,30.43,-37.03,L
965159.0,-0.55,0.39,9.71,0.07,0.05,0.01,-34.33,30.43,-36.28,L
965172.0,-0.58,0.42,9.74,-0.03,0.06,0.01,-33.28,30.73,-34.48,L
965185.0,-0.54,0.41,9.64,0.02,0.05,-0.0,-32.68,31.18,-35.83,L
965198.0,-0.62,0.39,9.64,0.0,0.07,-0.02,-32.68,31.18,-35.83,L
965211.0,-0.64,0.37,9.64,0.04,-0.03,0.03,-33.88,30.43,-36.58,L
965224.0,-0.59,0.32,9.61,0.02,0.04,-0.01,-34.18,30.28,-36.43,L
965237.0,-0.6,0.31,9.6,-0.02,-0.01,-0.01,-34.18,30.28,-36.43,L
965250.0,-0.58,0.25,9.64,-0.01,-0.0,-0.03,-32.98,29.83,-35.68,L
965263.0,-0.54,0.23,9.68,0.03,-0.03,0.02,-31.93,29.38,-36.28,L
965276.0,-0.57,0.22,9.63,0.04,-0.0,0.04,-32.98,31.78,-36.13,L
965289.0,-0.52,0.24,9.64,0.04,-0.01,0.06,-32.98,31.78,-36.13,L
965302.0,-0.51,0.28,9.63,0.05,0.0,-0.0,-34.33,29.68,-36.58,L
965315.0,-0.57,0.32,9.59,-0.01,-0.0,0.02,-33.73,29.83,-37.63,L
965328.0,-0.5,0.3,9.59,-0.01,0.02,0.06,-33.73,29.83,-37.63,L
965341.0,-0.56,0.31,9.64,0.02,-0.03,0.04,-32.98,31.03,-36.13,L
965354.0,-0.46,0.35,9.63,0.01,-0.04,0.04,-31.48,30.43,-36.58,L
965367.0,-0.51,0.42,9.71,0.04,-0.08,0.05,-33.13,29.38,-35.83,L
965380.0,-0.53,0.43,9.73,-0.04,-0.0,0.04,-33.13,29.38,-35.83,L
965393.0,-0.46,0.37,9.74,0.01,-0.03,0.02,-33.13,30.88,-35.53,L
965406.0,-0.58,0.38,9.73,0.03,-0.05,-0.04,-33.88,28.93,-35.83,L
965419.0,-0.6,0.43,9.75,0.0,-0.0,0.0,-33.88,28.93,-35.83,L
965432.0,-0.63,0.38,9.72,-0.0,-0.03,0.04,-33.13,29.38,-36.58,L
965445.0,-0.49,0.4,9.8,-0.01,-0.01,-0.05,-34.33,30.13,-37.78,L
965458.0,-0.48,0.4,9.83,0.02,0.02,-0.04,-34.33,30.13,-37.78,L
965471.0,-0.45,0.32,9.85,0.01,-0.04,0.04,-32.53,29.83,-37.18,L
965484.0,-0.43,0.38,9.89,0.05,-0.01,-0.03,-34.18,31.03,-35.23,L
965497.0,-0.43,0.37,9.8,0.02,0.04,0.03,-34.63,30.73,-35.68,L
965510.0,-0.48,0.41,9.84,-0.01,0.05,0.01,-33.88,28.93,-36.58,L
965523.0,-0.5,0.37,9.77,-0.04,0.03,0.01,-32.98,29.08,-37.18,L
965536.0,-0.52,0.35,9.73,-0.0,0.05,-0.01,-32.68,27.73,-35.53,L
965549.0,-0.5,0.37,9.77,-0.01,0.02,-0.01,-33.13,29.38,-37.48,L
965562.0,-0.52,0.36,9.7,-0.01,0.03,-0.0,-34.18,29.83,-36.88,L
965575.0,-0.49,0.37,9.7,-0.01,0.04,0.0,-33.13,31.18,-34.78,L
965588.0,-0.54,0.34,9.63,0.04,-0.01,0.02,-31.63,30.73,-36.13,L
965601.0,-0.51,0.4,9.61,0.04,-0.01,0.04,-34.18,29.53,-36.88,L
965614.0,-0.53,0.41,9.61,0.0,-0.02,0.06,-33.13,30.13,-36.28,L
965626.0,-0.53,0.35,9.73,0.01,-0.05,0.0,-33.88,30.43,-36.58,L
965640.0,-0.49,0.41,9.68,-0.01,0.0,-0.03,-34.93,30.73,-36.13,L
965653.0,-0.48,0.44,9.64,-0.02,-0.04,-0.01,-33.28,29.83,-35.23,L
965666.0,-0.45,0.4,9.66,-0.02,-0.01,-0.01,-33.73,30.28,-36.13,L
965679.0,-0.54,0.36,9.67,0.0,0.0,0.0,-33.73,30.28,-36.13,L
965692.0,-0.49,0.37,9.69,0.01,-0.03,0.05,-33.28,29.53,-35.68,L
965705.0,-0.52,0.28,9.7,-0.03,-0.01,0.01,-34.93,29.08,-34.48,L
965718.0,-0.5,0.26,9.72,0.02,-0.0,-0.02,-34.93,29.08,-36.13,L
965731.0,-0.5,0.3,9.77,0.01,-0.01,0.01,-34.33,29.68,-36.58,L
965744.0,-0.46,0.35,9.74,0.05,-0.01,0.03,-33.28,29.53,-35.68,L
