t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
11948647.0,4.12,-2.58,-8.93,-0.0,-0.01,-0.03,-105.75,-133.65,-104.7,-0.21,-0.05,0.97,-0.14,-3.099818087126348,-0.40903837755324274,-2.8640738807319153
11948686.0,4.07,-2.51,-9.04,-0.04,-0.04,-0.04,-106.8,-135.6,-102.6,-0.21,-0.05,0.97,-0.14,-3.099818087126348,-0.40903837755324274,-2.8640738807319153
11948711.0,3.95,-2.64,-8.95,-0.02,0.0,-0.05,-105.75,-134.1,-104.4,-0.21,-0.06,0.97,-0.14,-3.0785736690696526,-0.41159181889216034,-2.8688197916091847
11948738.0,4.07,-2.49,-8.99,0.01,-0.01,0.02,-106.8,-135.15,-104.7,-0.21,-0.05,0.97,-0.14,-3.099818087126348,-0.40903837755324274,-2.8640738807319153
11948764.0,3.91,-2.61,-8.99,0.01,-0.01,-0.05,-105.75,-134.4,-104.4,-0.21,-0.06,0.97,-0.14,-3.0785736690696526,-0.41159181889216034,-2.8688197916091847
11948790.0,4.09,-2.51,-8.89,0.01,-0.01,0.0,-105.3,-135.15,-103.65,-0.21,-0.06,0.97,-0.14,-3.0785736690696526,-0.41159181889216034,-2.8688197916091847
11948816.0,3.91,-2.48,-8.97,-0.0,0.03,-0.08,-106.05,-134.85,-102.9,-0.21,-0.06,0.97,-0.14,-3.0785736690696526,-0.41159181889216034,-2.8688197916091847
11948842.0,3.9,-2.49,-9.04,-0.02,-0.05,0.02,-105.0,-135.15,-103.65,-0.2,-0.06,0.97,-0.14,-3.07581354994455,-0.39383493201219755,-2.8687642009234615
11948868.0,3.92,-2.38,-9.1,0.01,0.03,0.06,-107.25,-134.7,-104.1,-0.2,-0.06,0.97,-0.14,-3.07581354994455,-0.39383493201219755,-2.8687642009234615
11948894.0,4.0,-2.45,-9.01,0.0,-0.01,-0.0,-106.95,-135.0,-104.1,-0.2,-0.06,0.97,-0.14,-3.07581354994455,-0.39383493201219755,-2.8687642009234615
11948919.0,3.9,-2.47,-9.0,-0.0,-0.03,0.03,-107.7,-135.0,-102.0,-0.2,-0.06,0.97,-0.14,-3.07581354994455,-0.39383493201219755,-2.8687642009234615
11948946.0,3.9,-2.57,-9.08,0.03,-0.02,-0.04,-106.2,-135.75,-103.8,-0.2,-0.06,0.97,-0.14,-3.07581354994455,-0.39383493201219755,-2.8687642009234615
