t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
11978781.0,3.69,-3.21,-8.87,0.01,-0.02,-0.0,-106.95,-136.5,-98.1,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11978820.0,3.72,-3.3,-8.92,0.01,-0.06,-0.04,-106.8,-137.85,-97.65,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11978846.0,3.53,-3.19,-8.87,-0.01,-0.0,-0.04,-106.95,-135.75,-97.8,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11978872.0,3.69,-3.31,-8.75,-0.03,-0.03,-0.02,-106.8,-135.6,-99.75,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11978898.0,3.55,-3.21,-8.82,-0.01,0.01,0.01,-105.45,-136.2,-99.15,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11978924.0,3.55,-3.26,-8.82,0.03,0.02,-0.0,-107.1,-136.65,-98.25,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11978950.0,3.68,-3.22,-8.78,0.01,0.02,-0.0,-106.65,-135.45,-99.6,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11978976.0,3.73,-3.17,-9.01,-0.01,0.01,0.01,-105.9,-135.0,-99.6,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979001.0,3.76,-3.11,-8.84,-0.02,-0.0,-0.03,-107.7,-135.75,-98.55,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979028.0,3.8,-3.21,-8.87,0.02,0.04,-0.08,-107.55,-136.35,-98.7,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979054.0,3.68,-3.1,-8.94,0.01,0.01,-0.01,-106.95,-136.95,-99.15,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979080.0,3.6,-3.16,-8.96,-0.01,-0.05,0.03,-105.9,-136.5,-98.1,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979106.0,3.68,-3.19,-8.8,-0.04,0.01,-0.1,-108.6,-134.4,-98.25,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979132.0,3.72,-3.09,-8.91,-0.02,0.02,-0.04,-107.1,-134.85,-100.5,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979158.0,3.66,-3.19,-9.01,-0.0,-0.0,-0.01,-105.9,-135.0,-99.15,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979184.0,3.61,-3.08,-8.85,0.01,0.03,-0.06,-106.35,-134.85,-100.05,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979209.0,3.75,-3.21,-8.92,-0.02,0.03,0.02,-107.55,-134.85,-99.3,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
11979236.0,3.64,-3.08,-8.81,-0.02,0.03,-0.04,-105.75,-135.15,-98.25,-0.19,-0.09,0.96,-0.18,-3.0273418825371152,-0.38683784837639174,-2.794631552123366
