t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
13758208.0,-0.35,0.23,-10.21,0.03,0.02,0.08,-100.95,-161.25,-158.1,-0.01,-0.32,-0.95,-0.02,2.4916461816753315,0.00619996027874301,3.0974159184252743
13758247.0,-0.28,0.27,-10.11,0.09,0.02,0.1,-101.1,-160.8,-159.0,-0.01,-0.32,-0.95,-0.01,2.4916239732848626,0.012599666606646487,3.1163168591178594
13758273.0,-0.15,0.2,-10.21,0.04,0.04,0.07,-100.95,-161.7,-158.85,-0.01,-0.32,-0.95,-0.01,2.4916239732848626,0.012599666606646487,3.1163168591178594
13758299.0,-0.27,0.11,-10.21,-0.0,0.03,0.03,-102.3,-161.85,-158.7,-0.01,-0.32,-0.95,-0.01,2.4916239732848626,0.012599666606646487,3.1163168591178594
13758325.0,-0.16,0.07,-10.13,0.01,0.0,0.08,-102.0,-162.0,-158.85,-0.01,-0.32,-0.95,-0.01,2.4916239732848626,0.012599666606646487,3.1163168591178594
13758351.0,-0.19,0.08,-10.26,0.0,-0.03,0.01,-102.9,-161.4,-157.95,-0.01,-0.32,-0.95,-0.01,2.4916239732848626,0.012599666606646487,3.1163168591178594
13758376.0,-0.2,0.36,-10.14,0.05,0.0,0.02,-102.0,-160.5,-159.15,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
13758403.0,-0.25,0.19,-10.02,0.04,0.04,0.02,-100.95,-160.95,-158.55,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
13758429.0,-0.19,0.14,-10.07,0.01,-0.01,-0.05,-99.75,-161.1,-157.65,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
13758455.0,-0.3,0.32,-10.17,0.0,0.01,-0.03,-103.2,-161.25,-158.1,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
13758481.0,-0.3,0.22,-10.11,0.06,0.03,0.04,-102.75,-162.45,-158.55,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
13758507.0,-0.25,0.32,-10.22,-0.0,0.04,0.04,-101.55,-161.4,-157.65,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
13758533.0,-0.32,0.16,-10.35,0.03,0.04,0.01,-101.7,-160.95,-158.55,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
13758559.0,-0.25,0.2,-10.19,0.01,-0.01,-0.05,-102.0,-162.0,-156.75,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
13758584.0,-0.26,0.23,-10.39,-0.01,0.01,0.0,-101.55,-161.4,-158.7,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
13758611.0,-0.29,0.09,-10.31,-0.01,-0.02,-0.01,-101.7,-162.0,-157.8,-0.01,-0.32,-0.94,-0.01,2.4851921751130033,0.012399682231776347,3.116035225073884
