t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
13592185.0,0.12,0.2,-10.21,0.03,-0.02,-0.06,-100.2,-160.5,-159.6,0.01,-0.64,-0.76,-0.02,1.7421754531844043,-0.04078868139011162,3.1237573097398417
13592224.0,0.23,0.19,-10.24,0.02,0.01,-0.01,-100.8,-161.4,-160.05,0.01,-0.64,-0.76,-0.02,1.7421754531844043,-0.04078868139011162,3.1237573097398417
13592250.0,0.19,0.12,-10.34,-0.0,0.03,-0.06,-100.95,-161.7,-159.6,0.01,-0.64,-0.76,-0.02,1.7421754531844043,-0.04078868139011162,3.1237573097398417
13592276.0,0.24,0.11,-10.28,-0.04,0.01,-0.01,-101.1,-162.6,-158.7,0.01,-0.64,-0.76,-0.02,1.7421754531844043,-0.04078868139011162,3.1237573097398417
13592302.0,0.11,0.19,-10.3,-0.01,0.03,-0.01,-100.2,-160.5,-159.15,0.01,-0.64,-0.76,-0.02,1.7421754531844043,-0.04078868139011162,3.1237573097398417
13592328.0,0.05,0.21,-10.16,-0.01,0.03,0.0,-102.0,-163.5,-158.85,0.01,-0.64,-0.76,-0.02,1.7421754531844043,-0.04078868139011162,3.1237573097398417
13592354.0,0.22,0.26,-10.21,-0.02,0.04,0.02,-101.55,-161.85,-159.0,0.01,-0.64,-0.76,-0.02,1.7421754531844043,-0.04078868139011162,3.1237573097398417
13592379.0,0.2,0.25,-10.13,0.01,-0.0,-0.04,-100.95,-160.95,-158.55,0.01,-0.64,-0.77,-0.02,1.7550409304196364,-0.04098851413209637,3.123630513741936
13592406.0,0.27,0.16,-10.25,0.0,0.04,-0.02,-101.4,-162.75,-159.6,0.01,-0.64,-0.77,-0.02,1.7550409304196364,-0.04098851413209637,3.123630513741936
13592432.0,0.2,0.34,-10.16,-0.0,-0.0,-0.01,-100.65,-162.0,-159.6,0.01,-0.64,-0.77,-0.02,1.7550409304196364,-0.04098851413209637,3.123630513741936
13592458.0,0.31,0.06,-10.19,0.01,0.04,0.04,-101.55,-162.15,-158.7,0.01,-0.64,-0.77,-0.02,1.7550409304196364,-0.04098851413209637,3.123630513741936
13592484.0,0.21,0.25,-10.21,-0.0,0.01,-0.0,-100.95,-161.7,-159.6,0.01,-0.64,-0.77,-0.02,1.7550409304196364,-0.04098851413209637,3.123630513741936
13592510.0,0.13,0.17,-10.04,0.01,0.08,-0.03,-100.65,-162.75,-158.85,0.01,-0.64,-0.77,-0.02,1.7550409304196364,-0.04098851413209637,3.123630513741936
13592536.0,0.23,0.29,-10.14,0.03,0.01,-0.06,-100.5,-161.1,-158.7,0.01,-0.64,-0.77,-0.02,1.7550409304196364,-0.04098851413209637,3.123630513741936
13592562.0,0.21,0.24,-10.3,0.01,0.01,-0.11,-102.3,-161.85,-160.05,0.01,-0.64,-0.77,-0.02,1.7550409304196364,-0.04098851413209637,3.123630513741936
