t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
58058071.0,-4.56,0.98,-9.0,-0.03,0.0,0.01,977.1,130.5,339.45,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58058097.0,-4.6,1.04,-9.01,-0.01,0.04,-0.03,977.4,131.85,340.05,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58058123.0,-4.56,1.02,-8.96,0.03,0.06,-0.02,977.85,130.95,340.95,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58058149.0,-4.61,0.9,-8.97,0.02,0.05,-0.01,978.75,132.15,338.55,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58058175.0,-4.51,0.89,-9.03,0.03,0.04,-0.01,977.4,132.15,337.95,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58058201.0,-4.49,1.06,-9.06,-0.02,-0.0,-0.1,978.9,132.0,339.9,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58058227.0,-4.58,0.91,-9.13,0.02,0.02,-0.04,976.95,131.1,339.75,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058252.0,-4.56,0.95,-9.17,0.01,-0.01,0.04,977.85,131.25,339.15,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058279.0,-4.59,1.01,-8.94,0.0,-0.01,0.01,977.4,132.15,340.35,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058305.0,-4.45,0.91,-9.0,0.05,0.04,0.03,978.75,131.85,340.05,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058331.0,-4.42,0.92,-9.09,-0.02,-0.0,-0.05,978.0,130.35,340.05,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058357.0,-4.62,0.93,-8.98,0.04,0.07,0.04,979.2,130.35,339.75,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058383.0,-4.55,0.98,-9.04,-0.01,0.03,-0.02,977.85,131.7,339.9,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058409.0,-4.48,0.89,-9.07,0.0,-0.0,0.04,978.0,131.4,340.05,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058435.0,-4.53,0.99,-9.11,-0.04,0.03,0.06,977.85,132.45,339.45,0.1,0.96,0.16,-0.21,0.2984989315861793,0.42159176694569067,3.0027536934280885
58058460.0,-4.57,0.89,-9.04,0.03,0.01,-0.05,978.75,131.1,339.0,0.1,0.96,0.16,-0.21,0.2984989315861793,0.42159176694569067,3.0027536934280885
58058487.0,-4.64,0.99,-9.02,-0.0,-0.02,-0.02,978.6,130.5,340.5,0.1,0.96,0.16,-0.21,0.2984989315861793,0.42159176694569067,3.0027536934280885
58058513.0,-4.58,0.86,-9.11,-0.01,0.01,-0.01,977.7,131.85,340.35,0.1,0.96,0.16,-0.21,0.2984989315861793,0.42159176694569067,3.0027536934280885
58058539.0,-4.48,1.02,-9.07,0.03,0.03,-0.06,976.5,132.0,340.2,0.1,0.96,0.16,-0.21,0.2984989315861793,0.42159176694569067,3.0027536934280885
58058565.0,-4.73,1.08,-9.07,-0.01,0.01,-0.03,978.0,130.8,340.8,0.1,0.96,0.16,-0.21,0.2984989315861793,0.42159176694569067,3.0027536934280885
58058591.0,-4.58,0.9,-8.9,0.0,-0.04,0.02,978.0,130.35,340.35,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058617.0,-4.57,1.05,-9.01,0.0,-0.04,0.04,977.4,131.1,340.05,0.1,0.96,0.16,-0.21,0.2984989315861793,0.42159176694569067,3.0027536934280885
58058643.0,-4.57,0.99,-9.03,-0.01,0.0,0.03,977.7,132.15,339.75,0.1,0.96,0.16,-0.21,0.2984989315861793,0.42159176694569067,3.0027536934280885
58058668.0,-4.56,0.95,-9.05,-0.03,0.01,-0.1,977.85,131.25,340.2,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058695.0,-4.61,1.01,-9.05,-0.01,0.03,-0.02,977.7,130.8,340.35,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058721.0,-4.53,0.86,-9.14,0.02,0.02,-0.0,978.0,131.1,339.0,0.1,0.96,0.16,-0.21,0.2984989315861793,0.42159176694569067,3.0027536934280885
58058760.0,-4.52,0.9,-9.02,0.02,0.01,-0.01,976.8,130.2,340.5,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
58058786.0,-4.46,0.87,-9.09,-0.02,-0.04,-0.02,976.8,132.0,340.5,0.1,0.96,0.17,-0.21,0.3198625767783039,0.42340449403755487,3.0078575342603253
