t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
13887583.0,-0.18,0.12,-9.92,-0.03,0.03,-0.04,-102.3,-161.85,-156.6,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13887623.0,-0.22,0.12,-10.07,0.0,0.03,0.04,-102.45,-162.45,-156.0,0.01,0.06,-1.0,-0.0,-3.021724428104315,-0.01999866669333308,3.1403968395110575
13887649.0,-0.28,0.22,-10.12,0.04,0.03,0.01,-102.45,-162.0,-155.7,0.01,0.06,-1.0,-0.0,-3.021724428104315,-0.01999866669333308,3.1403968395110575
13887675.0,-0.15,0.02,-10.37,-0.01,-0.01,0.01,-102.9,-160.8,-156.15,0.01,0.06,-1.0,-0.0,-3.021724428104315,-0.01999866669333308,3.1403968395110575
13887701.0,-0.13,-0.06,-10.36,-0.01,0.05,-0.01,-102.3,-160.35,-156.6,0.01,0.06,-1.0,-0.0,-3.021724428104315,-0.01999866669333308,3.1403968395110575
13887727.0,-0.18,-0.09,-10.33,0.04,-0.01,-0.05,-101.85,-161.85,-157.2,0.01,0.06,-1.0,-0.0,-3.021724428104315,-0.01999866669333308,3.1403968395110575
13887752.0,-0.26,0.0,-10.3,0.0,-0.04,0.01,-101.7,-163.2,-156.0,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13887779.0,-0.22,0.09,-10.28,-0.01,-0.02,-0.03,-103.65,-161.4,-157.65,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13887805.0,-0.13,0.06,-10.11,-0.05,0.01,-0.03,-102.9,-162.15,-157.2,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13887831.0,-0.21,0.04,-10.1,-0.04,-0.02,0.01,-102.75,-160.95,-157.05,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13887857.0,-0.24,0.13,-10.13,-0.01,0.02,0.06,-104.1,-162.15,-157.65,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13887883.0,-0.28,0.02,-10.15,-0.01,-0.0,-0.01,-101.85,-161.1,-155.85,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13887909.0,-0.16,0.08,-10.09,-0.0,0.05,-0.02,-101.85,-161.85,-155.85,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13887935.0,-0.15,0.16,-10.05,-0.0,0.02,0.01,-102.75,-160.95,-156.75,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13887960.0,-0.23,0.16,-10.07,0.01,-0.01,0.02,-103.35,-161.1,-156.9,0.0,0.06,-1.0,-0.01,-3.021748256233208,0.0011999997120000206,3.1216650476770935
13887987.0,-0.16,0.04,-10.16,0.01,0.01,0.03,-102.6,-161.85,-156.15,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888013.0,-0.2,0.02,-10.19,0.04,0.02,0.01,-102.6,-161.4,-156.9,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888039.0,-0.2,0.01,-10.27,0.0,0.02,-0.03,-102.3,-160.8,-155.85,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888065.0,-0.05,-0.09,-10.18,-0.0,0.04,0.0,-102.6,-161.1,-156.15,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888091.0,-0.14,0.02,-10.21,-0.03,0.03,-0.01,-103.5,-160.2,-156.0,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888117.0,-0.25,-0.03,-10.23,-0.02,0.02,-0.02,-103.2,-160.2,-156.3,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888143.0,-0.32,0.12,-10.19,-0.01,-0.03,-0.07,-103.5,-161.25,-155.7,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888168.0,-0.27,0.06,-10.18,-0.0,0.01,-0.05,-102.9,-161.85,-157.95,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888195.0,-0.27,0.15,-10.17,0.03,-0.04,-0.03,-102.9,-161.85,-158.7,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888221.0,-0.32,-0.08,-10.08,-0.01,0.0,0.02,-104.1,-161.4,-156.6,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888247.0,-0.27,-0.05,-10.15,-0.02,-0.02,-0.07,-103.35,-161.4,-156.6,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888273.0,-0.31,-0.11,-10.12,0.0,0.03,0.0,-102.75,-162.75,-157.35,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888299.0,-0.28,-0.05,-10.21,-0.01,-0.01,-0.03,-103.2,-161.25,-155.7,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888325.0,-0.19,-0.14,-10.18,-0.03,0.0,-0.02,-103.65,-160.8,-156.9,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888351.0,-0.3,-0.11,-10.21,-0.02,-0.0,-0.03,-101.1,-162.15,-156.9,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888376.0,-0.24,-0.01,-10.15,-0.03,0.0,-0.02,-102.6,-162.6,-156.6,0.0,0.07,-1.0,-0.0,-3.001820650320508,-0.0,3.141592653589793
13888403.0,-0.24,0.09,-10.1,-0.01,0.0,0.01,-102.6,-162.15,-156.6,0.0,0.07,-1.0,-0.0,-3.001820650320508,-0.0,3.141592653589793
13888429.0,-0.3,0.02,-10.26,0.02,0.03,0.0,-102.9,-162.15,-157.2,0.0,0.07,-1.0,-0.0,-3.001820650320508,-0.0,3.141592653589793
13888455.0,-0.18,0.09,-10.15,-0.01,0.06,-0.0,-102.6,-162.6,-157.2,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888481.0,-0.29,0.1,-10.04,0.02,0.04,0.04,-102.9,-161.1,-156.15,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888507.0,-0.16,0.1,-10.26,0.0,0.05,0.04,-103.5,-162.0,-155.7,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888533.0,-0.08,0.1,-10.25,-0.01,0.04,-0.02,-102.45,-161.25,-157.8,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888559.0,-0.19,0.03,-10.01,0.0,-0.0,0.01,-102.9,-162.6,-156.6,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888584.0,-0.21,0.17,-10.15,-0.03,0.02,-0.0,-101.4,-160.95,-156.0,0.0,0.06,-1.0,-0.0,-3.0217363433473774,-0.0,3.141592653589793
13888611.0,-0.08,0.17,-10.12,-0.01,0.03,-0.01,-102.9,-162.15,-156.75,0.0,0.06,-1.0,-0.01,-3.021748256233208,0.0011999997120000206,3.1216650476770935
