t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
13850482.0,-0.14,0.34,-10.27,-0.03,0.01,-0.08,-100.95,-162.0,-159.9,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13850521.0,0.0,0.13,-10.32,-0.03,0.02,-0.0,-102.45,-162.75,-159.6,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13850547.0,0.08,0.17,-10.07,0.02,0.02,0.0,-99.6,-163.2,-158.85,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13850573.0,0.0,0.23,-10.11,-0.03,0.04,0.04,-101.1,-161.4,-159.3,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13850599.0,0.04,0.14,-10.26,-0.01,0.04,-0.04,-100.65,-162.0,-158.1,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850625.0,0.15,0.14,-10.31,-0.08,0.05,-0.01,-100.95,-161.25,-159.15,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850651.0,0.09,0.09,-10.2,-0.01,0.09,0.04,-100.95,-162.0,-160.2,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850677.0,0.2,-0.02,-10.19,-0.02,0.04,-0.06,-100.8,-161.85,-158.7,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850703.0,-0.1,0.1,-10.08,-0.0,0.02,-0.0,-100.8,-161.4,-159.3,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850729.0,0.19,0.03,-10.14,-0.01,-0.04,-0.05,-101.4,-162.0,-159.6,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850754.0,-0.03,0.21,-10.14,0.02,0.02,-0.02,-102.6,-160.8,-159.3,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850781.0,-0.16,0.22,-10.21,0.02,0.01,-0.01,-100.2,-161.7,-158.1,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850807.0,-0.19,0.28,-10.21,0.01,0.04,-0.01,-100.65,-163.2,-158.55,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850833.0,0.12,0.2,-10.18,0.01,0.05,0.0,-100.8,-162.9,-159.0,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850859.0,0.04,0.28,-10.3,-0.01,-0.03,-0.0,-101.85,-162.6,-159.75,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850885.0,0.1,0.23,-10.24,-0.0,0.03,0.02,-100.2,-162.75,-158.55,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850911.0,0.11,0.09,-10.25,-0.01,0.01,-0.04,-100.8,-162.6,-159.3,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850937.0,0.22,-0.04,-10.25,0.02,0.0,0.01,-100.8,-161.1,-161.1,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850962.0,0.32,0.11,-10.18,-0.02,0.01,0.02,-101.85,-163.65,-159.0,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13850989.0,0.19,0.18,-10.2,-0.03,0.04,-0.07,-101.7,-163.5,-159.15,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851015.0,0.13,0.33,-10.1,-0.04,0.05,-0.03,-101.55,-162.6,-158.25,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851041.0,0.03,0.28,-10.07,-0.02,0.03,0.04,-101.1,-161.1,-159.75,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851067.0,0.1,0.19,-10.15,0.0,0.06,-0.01,-100.8,-162.6,-159.75,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851093.0,0.14,0.27,-10.16,0.0,0.02,-0.02,-101.1,-163.35,-158.7,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851119.0,0.12,0.31,-10.27,0.04,-0.02,-0.01,-100.95,-163.2,-159.6,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851145.0,0.2,0.22,-10.18,-0.01,-0.01,-0.01,-100.05,-162.9,-159.3,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851170.0,0.17,0.18,-10.19,0.04,0.01,-0.05,-102.45,-163.2,-160.95,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851197.0,-0.03,0.15,-10.08,0.0,-0.0,0.02,-101.85,-161.1,-159.0,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851223.0,0.21,0.23,-10.16,-0.03,-0.04,-0.03,-101.4,-163.2,-159.6,0.02,-0.07,-1.0,-0.01,3.002173350419214,-0.041388174689450954,3.1244696757178163
13851249.0,-0.0,0.06,-10.18,-0.0,-0.07,-0.03,-100.65,-161.7,-159.9,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851275.0,0.16,0.13,-10.28,0.01,-0.01,0.01,-101.85,-163.35,-160.35,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851301.0,0.12,0.07,-10.22,0.02,0.02,0.03,-101.1,-161.4,-158.25,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851327.0,0.12,0.13,-10.11,-0.03,0.02,-0.0,-100.5,-161.85,-157.95,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851353.0,-0.05,0.17,-10.08,-0.0,0.01,0.02,-102.45,-162.45,-160.2,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851378.0,0.1,0.15,-10.19,0.03,0.01,-0.01,-99.75,-164.4,-158.7,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851405.0,-0.12,0.18,-10.08,0.0,0.01,0.06,-100.5,-162.9,-158.7,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851431.0,0.12,0.11,-10.12,0.01,0.04,-0.0,-100.2,-161.25,-159.6,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851457.0,0.01,0.22,-10.15,0.04,0.03,-0.0,-102.0,-160.95,-159.9,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851483.0,0.06,0.2,-10.24,-0.0,0.0,0.02,-100.95,-161.25,-159.6,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851509.0,0.08,0.11,-10.27,0.01,-0.01,-0.05,-101.1,-162.9,-159.0,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851535.0,0.08,0.11,-10.15,0.02,0.03,-0.03,-99.9,-163.5,-160.2,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851561.0,-0.03,0.16,-10.15,-0.01,-0.0,0.04,-101.1,-163.35,-160.05,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851586.0,0.09,0.09,-10.15,-0.02,0.02,0.0,-101.4,-162.45,-159.6,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851613.0,-0.0,0.13,-10.2,-0.03,-0.01,0.01,-99.9,-163.2,-158.55,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851639.0,0.1,0.11,-10.21,-0.01,0.04,-0.07,-99.9,-162.0,-159.15,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
13851665.0,0.15,0.23,-10.17,0.01,-0.01,0.0,-101.4,-162.45,-159.6,0.01,-0.07,-1.0,-0.01,3.0020177396290935,-0.021398366646734307,3.1230817791933076
